ID,Category,Variable Name,Python Key,Description,Lower Bound,Baseline,Upper Bound,Unit,Scale Type,Active?,Range Span,Normalised Baseline,Notes
1,Wing Planform,Wingspan,wing_span,Tip-to-tip wingspan,28.00,35.00,45.00,m,Linear,YES,17.00,41.18%,Constrained by airport gate (ICAO Code C ≤36m)
2,Wing Planform,Wing Area,wing_area,Reference wing area (Sref),90.00,125.00,180.00,m²,Linear,YES,90.00,38.89%,Drives wing loading
3,Wing Planform,Aspect Ratio,wing_AR,Wingspan² / Sref,7.00,9.80,13.00,—,Linear,YES,6.00,46.67%,"Higher = less induced drag, more flex"
4,Wing Planform,Taper Ratio,wing_taper,Tip chord / root chord,0.15,0.30,0.50,—,Linear,YES,0.35,42.86%,Affects spanwise lift distribution
5,Wing Planform,Sweep Angle (LE),wing_sweep_LE,Leading-edge sweep,20.00,30.00,45.00,deg,Linear,YES,25.00,40.00%,Trade: Mcrit vs low-speed CLmax
6,Wing Planform,Dihedral Angle,wing_dihedral,Wing dihedral for roll stability,2.00,5.00,8.00,deg,Linear,YES,6.00,50.00%,Swept wings need less dihedral
7,Wing Planform,Wing Twist (root),wing_twist_root,Incidence angle at root,0.00,2.00,5.00,deg,Linear,YES,5.00,40.00%,Set for cruise CL
8,Wing Planform,Wing Twist (tip),wing_twist_tip,Washout at tip (negative = washout),-5.00,-2.00,0.00,deg,Linear,YES,5.00,60.00%,Delays tip stall
9,Wing Planform,Kink Location (η),wing_kink_eta,Spanwise fraction of crank/kink,0.25,0.37,0.50,—,Linear,YES,0.25,48.00%,Where trailing edge breaks for flap
10,Wing Planform,Wing Vertical Pos,wing_z_pos,"Vertical position on fuselage (0=low, 1=high)",0.00,0.00,1.00,—,Discrete,YES,1.00,0.00%,"0=low-wing, 0.5=mid, 1=high"
,,,,,,,,,,,,,
11,Airfoil,Root t/c,airfoil_tc_root,Thickness-to-chord ratio at root,0.10,0.14,0.18,—,Linear,YES,0.08,50.00%,Thicker = more fuel vol & structure
12,Airfoil,Tip t/c,airfoil_tc_tip,Thickness-to-chord ratio at tip,0.08,0.11,0.14,—,Linear,YES,0.06,50.00%,Thinner tip for aero efficiency
13,Airfoil,Root Camber,airfoil_camber_root,Max camber as fraction of chord,0.01,0.03,0.05,—,Linear,YES,0.04,50.00%,Affects CLmax and Cm0
14,Airfoil,Design CL,airfoil_CL_design,Target CL for airfoil shaping,0.30,0.50,0.70,—,Linear,YES,0.40,50.00%,Cruise CL target
,,,,,,,,,,,,,
15,Fuselage,Fuselage Length,fuse_length,Overall fuselage length,30.00,38.00,50.00,m,Linear,YES,20.00,40.00%,Driven by passenger capacity
